prefix,company
200001,SHINHAN
200002,SHINHAN
200003,SHINHAN
200004,SHINHAN
200005,SHINHAN
200006,SHINHAN
200007,SHINHAN
200008,SHINHAN
200009,SHINHAN
200010,SHINHAN
200011,SHINHAN
200012,SHINHAN
200013,SHINHAN
200014,SHINHAN
200015,SHINHAN
200016,SHINHAN
200017,SHINHAN
200018,SHINHAN
200019,SHINHAN
200020,SHINHAN
200021,SHINHAN
200022,SHINHAN
200023,SHINHAN
200024,SHINHAN
200025,SHINHAN
200026,SHINHAN
200027,SHINHAN
200028,SHINHAN
200029,SHINHAN
200030,SHINHAN
200031,SHINHAN
200032,SHINHAN
200033,SHINHAN
200034,SHINHAN
200035,SHINHAN
200036,SHINHAN
200037,SHINHAN
200038,SHINHAN
200039,SHINHAN
200040,SHINHAN
200041,SHINHAN
200042,SHINHAN
200043,SHINHAN
200044,SHINHAN
200045,SHINHAN
200046,SHINHAN
200047,SHINHAN
200048,SHINHAN
200049,SHINHAN
200050,SHINHAN
200051,SHINHAN
200052,SHINHAN
200053,SHINHAN
200054,SHINHAN
200055,SHINHAN
200056,SHINHAN
200057,SHINHAN
200058,SHINHAN
200059,SHINHAN
200060,SHINHAN
200061,SHINHAN
200062,SHINHAN
200063,SHINHAN
200064,SHINHAN
200065,SHINHAN
200066,SHINHAN
200067,SHINHAN
200068,SHINHAN
200069,SHINHAN
200070,SHINHAN
200071,SHINHAN
200072,SHINHAN
200073,SHINHAN
200074,SHINHAN
200075,SHINHAN
200076,SHINHAN
200077,SHINHAN
200078,SHINHAN
200079,SHINHAN
200080,SHINHAN
200081,SHINHAN
200082,SHINHAN
200083,SHINHAN
200084,SHINHAN
200085,SHINHAN
200086,SHINHAN
200087,SHINHAN
200088,SHINHAN
200089,SHINHAN
200090,SHINHAN
200091,SHINHAN
200092,SHINHAN
200093,SHINHAN
200094,SHINHAN
200095,SHINHAN
200096,SHINHAN
200097,SHINHAN
200098,SHINHAN
200099,SHINHAN
205001,SHINHAN
205002,SHINHAN
205003,SHINHAN
205004,SHINHAN
205005,SHINHAN
205006,SHINHAN
205007,SHINHAN
205008,SHINHAN
205009,SHINHAN
205010,SHINHAN
205011,SHINHAN
205012,SHINHAN
205013,SHINHAN
205014,SHINHAN
205015,SHINHAN
205016,SHINHAN
205017,SHINHAN
205018,SHINHAN
205019,SHINHAN
205020,SHINHAN
205021,SHINHAN
205022,SHINHAN
205023,SHINHAN
205024,SHINHAN
205025,SHINHAN
205026,SHINHAN
205027,SHINHAN
205028,SHINHAN
205029,SHINHAN
205030,SHINHAN
205031,SHINHAN
205032,SHINHAN
205033,SHINHAN
205034,SHINHAN
205035,SHINHAN
205036,SHINHAN
205037,SHINHAN
205038,SHINHAN
205039,SHINHAN
205040,SHINHAN
205041,SHINHAN
205042,SHINHAN
205043,SHINHAN
205044,SHINHAN
205045,SHINHAN
205046,SHINHAN
205047,SHINHAN
205048,SHINHAN
205049,SHINHAN
205050,SHINHAN
205051,SHINHAN
205052,SHINHAN
205053,SHINHAN
205054,SHINHAN
205055,SHINHAN
205056,SHINHAN
205057,SHINHAN
205058,SHINHAN
205059,SHINHAN
205060,SHINHAN
205061,SHINHAN
205062,SHINHAN
205063,SHINHAN
205064,SHINHAN
205065,SHINHAN
205066,SHINHAN
205067,SHINHAN
205068,SHINHAN
205069,SHINHAN
205070,SHINHAN
205071,SHINHAN
205072,SHINHAN
205073,SHINHAN
205074,SHINHAN
205075,SHINHAN
205076,SHINHAN
205077,SHINHAN
205078,SHINHAN
205079,SHINHAN
205080,SHINHAN
205081,SHINHAN
205082,SHINHAN
205083,SHINHAN
205084,SHINHAN
205085,SHINHAN
205086,SHINHAN
205087,SHINHAN
205088,SHINHAN
205089,SHINHAN
205090,SHINHAN
205091,SHINHAN
205092,SHINHAN
205093,SHINHAN
205094,SHINHAN
205095,SHINHAN
205096,SHINHAN
205097,SHINHAN
205098,SHINHAN
205099,SHINHAN
209304,SAMSUNG
222879,KOOKMIN
356078,SHINHAN
356087,SHINHAN
356290,SHINHAN
356291,SHINHAN
356292,SHINHAN
356293,SHINHAN
356294,SHINHAN
356295,SHINHAN
356296,SHINHAN
356297,SHINHAN
356298,SHINHAN
356406,KOOKMIN
356407,KOOKMIN
356413,KOOKMIN
356414,KOOKMIN
356415,KOOKMIN
356416,KOOKMIN
356417,KOOKMIN
356454,KOOKMIN
356522,SHINHAN
356900,SHINHAN
356901,SHINHAN
356902,SHINHAN
356904,SHINHAN
356905,SHINHAN
356906,SHINHAN
356907,SHINHAN
356908,SHINHAN
356910,KOOKMIN
356911,KOOKMIN
356912,KOOKMIN
360043,HYUNDAI
360069,HYUNDAI
361246,HYUNDAI
361247,HYUNDAI
361248,HYUNDAI
361650,HYUNDAI
361651,HYUNDAI
361652,HYUNDAI
361653,HYUNDAI
361654,HYUNDAI
364124,HYUNDAI
364125,HYUNDAI
364178,HYUNDAI
364445,HYUNDAI
364681,HYUNDAI
364682,HYUNDAI
364683,HYUNDAI
364828,HYUNDAI
